fecha_vigencia,lista_id,planta,valor
10.07.2026,COMB-48-2026,LIMA,19.47
10.07.2026,COMB-48-2026,MOLLENDO,20.4848
10.07.2026,COMB-48-2026,PISCO,19.3402
10.07.2026,COMB-48-2026,PIURA,19.3284
10.07.2026,COMB-48-2026,PTO. MALDONADO,17.6783
10.07.2026,COMB-48-2026,PUCALLPA,16.72
10.07.2026,COMB-48-2026,SALAVERRY,19.175
10.07.2026,COMB-48-2026,SUPE,19.6942
10.07.2026,COMB-48-2026,TALARA,19.1278
10.07.2026,COMB-48-2026,TARAPOTO,21.3993
10.07.2026,COMB-48-2026,YURIMAGUAS,16.76
11.03.2026,COMB-14B-2026,CHIMBOTE,17.5112
11.03.2026,COMB-14B-2026,CUSCO,18.939
11.03.2026,COMB-14B-2026,EL MILAGRO,18.9626
11.03.2026,COMB-14B-2026,ETEN,18.113
11.03.2026,COMB-14B-2026,ILO,18.6086
11.03.2026,COMB-14B-2026,IQUITOS,15.65
11.03.2026,COMB-14B-2026,JULIACA,18.8328
11.03.2026,COMB-14B-2026,LIMA,17.877000000000002
11.03.2026,COMB-14B-2026,MOLLENDO,18.6558
11.03.2026,COMB-14B-2026,PISCO,18.526
11.03.2026,COMB-14B-2026,PIURA,16.6498
11.03.2026,COMB-14B-2026,PTO. MALDONADO,15.9083
11.03.2026,COMB-14B-2026,PUCALLPA,15.64
11.03.2026,COMB-14B-2026,SALAVERRY,18.3726
11.03.2026,COMB-14B-2026,SUPE,18.3254
11.03.2026,COMB-14B-2026,TALARA,16.4492
11.03.2026,COMB-14B-2026,TARAPOTO,19.3579
11.03.2026,COMB-14B-2026,YURIMAGUAS,16.07
11.06.2026,COMB-39-2026,CHIMBOTE,19.8476
11.06.2026,COMB-39-2026,CUSCO,21.9126
11.06.2026,COMB-39-2026,EL MILAGRO,22.007
11.06.2026,COMB-39-2026,ETEN,19.8358
11.06.2026,COMB-39-2026,ILO,22.066
11.06.2026,COMB-39-2026,IQUITOS,16.52
11.06.2026,COMB-39-2026,JULIACA,21.8064
11.06.2026,COMB-39-2026,LIMA,19.3166
11.06.2026,COMB-39-2026,MOLLENDO,21.6294
11.06.2026,COMB-39-2026,PISCO,19.765
11.06.2026,COMB-39-2026,PIURA,19.6942
11.06.2026,COMB-39-2026,PTO. MALDONADO,18.5283
11.06.2026,COMB-39-2026,PUCALLPA,16.58
11.06.2026,COMB-39-2026,SALAVERRY,20.532
11.06.2026,COMB-39-2026,SUPE,19.7768
11.06.2026,COMB-39-2026,TALARA,19.4936
11.06.2026,COMB-39-2026,TARAPOTO,22.4023
11.06.2026,COMB-39-2026,YURIMAGUAS,15.81
11.08.2026,COMB-57-2026,CHIMBOTE,24.5558
11.08.2026,COMB-57-2026,CUSCO,25.8892
11.08.2026,COMB-57-2026,EL MILAGRO,25.7004
11.08.2026,COMB-57-2026,ETEN,24.721
11.08.2026,COMB-57-2026,ILO,25.5748
11.08.2026,COMB-57-2026,IQUITOS,22.01
11.08.2026,COMB-57-2026,JULIACA,25.9482
11.08.2026,COMB-57-2026,LIMA,24.662
11.08.2026,COMB-57-2026,MOLLENDO,25.3228
11.08.2026,COMB-57-2026,PISCO,24.5322
11.08.2026,COMB-57-2026,PIURA,24.8862
11.08.2026,COMB-57-2026,PTO. MALDONADO,21.7783
11.08.2026,COMB-57-2026,PUCALLPA,21.12
11.08.2026,COMB-57-2026,SALAVERRY,25.547
11.08.2026,COMB-57-2026,SUPE,24.8862
11.08.2026,COMB-57-2026,TALARA,24.6856
11.08.2026,COMB-57-2026,TARAPOTO,26.0131
11.08.2026,COMB-57-2026,YURIMAGUAS,20.87
12.05.2026,COMB-28-2026,CHIMBOTE,22.7386
